    14.000 1 1 1 0 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     9.000 0 1 1 0 0 1 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     6.000 1 1 1 0 0 1 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     5.000 1 1 1 0 0 1 1 0 1 0 0 0 0      1.000      0.000      0.000    1
     5.000 0 1 1 0 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     5.000 1 1 1 1 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     5.000 0 1 0 0 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     4.000 1 1 1 0 0 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     3.000 1 1 1 0 0 1 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     3.000 1 1 1 1 1 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     3.000 1 1 1 0 0 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     3.000 1 1 1 0 0 1 0 1 1 0 0 0 1      1.000      0.000      0.000    1
     3.000 1 1 1 0 1 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     3.000 0 1 1 0 1 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     3.000 0 1 1 0 0 1 1 0 1 0 0 0 0      1.000      0.000      0.000    1
     3.000 1 1 1 0 0 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     2.000 0 1 1 1 0 1 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     2.000 0 1 1 0 1 0 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     2.000 1 1 1 0 1 1 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     2.000 1 1 1 1 0 1 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     2.000 1 1 1 1 0 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     2.000 1 1 1 0 0 1 0 1 1 0 1 0 0      1.000      0.000      0.000    1
     2.000 1 1 1 0 1 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     2.000 1 1 1 0 1 1 0 1 1 0 0 0 1      1.000      0.000      0.000    1
     2.000 0 1 1 0 0 1 0 1 1 0 0 0 1      1.000      0.000      0.000    1
     2.000 1 1 1 0 0 0 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     2.000 1 1 1 0 0 1 0 0 1 0 0 1 0      1.000      0.000      0.000    1
     2.000 0 1 1 1 1 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 1 1 1 1 0 1 0 1      1.000      0.000      0.000    1
     1.000 1 1 1 1 1 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 0 1 0 0 1 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 1 0 0 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 1 0 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 0 0 1 1 0 1 1 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 1 1 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 0 1 0 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 1 0 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 0 1 0 1 0 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     1.000 0 1 1 0 0 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 1 1 1 1 0 1 1 1 1 0 1 1 1      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 0 1 1 1 1 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 1 0 1 0 0 0 1      1.000      0.000      0.000    1
     1.000 1 1 1 1 0 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 1 1 1 1 0 0 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 0 0 0 1 0 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 1 1 1 1 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 1 0 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 1 1 0 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 0 1 1 0 1 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 0 0 1 0 0 0 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 1 1 1 1 1 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 1 1 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 0 1 1 0 0 0 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 1 0 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 0 1 1 1 1 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 0 1 0 1 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 1 1 1 1 1 0 1 0      1.000      0.000      0.000    1
     1.000 1 0 0 0 0 0 0 1 1 1 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 1 1 1 1 1 1 1 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 1 0 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 1 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 0 0 1 0 0 0 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 0 1 0 0 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 0 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 1 1 1 1 0 0 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 0 1 1 1 1 1 1 1 1 0 0 1 1      1.000      0.000      0.000    1
     1.000 0 1 0 0 0 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 1 0 0 0 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 0 1 0 0 1 1 1 1 1 0 0 0      1.000      0.000      0.000    1
     1.000 0 1 1 0 0 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     1.000 0 1 0 0 0 1 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 0 0 1 1 1 1 1 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 0 1 1 0 0 0 0 1 1 0 0 0 1      1.000      0.000      0.000    1
     1.000 1 1 1 0 1 0 0 1 1 0 0 1 0      1.000      0.000      0.000    1
     1.000 1 1 0 0 0 0 0 1 1 0 1 1 1      1.000      0.000      0.000    1
     1.000 0 1 0 0 0 1 1 1 1 0 0 0 1      1.000      0.000      0.000    1
     1.000 0 1 0 0 1 1 0 0 1 0 1 0 1      1.000      0.000      0.000    1
     1.000 0 1 1 0 1 1 0 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 0 1 1 1 0 1 1 1 1 0 0 0 0      1.000      0.000      0.000    1
     1.000 1 1 1 1 0 1 0 1 1 0 1 1 0      1.000      0.000      0.000    1
     1.000 1 0 1 0 0 1 0 0 1 0 0 1 1      1.000      0.000      0.000    1
