casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2,sci_issues7,sci_irt7
1626,2,0,1,1,1,1,1,1,1,1,1,1,1,56.18,72.83,57.22,0.67,0,0.67,0,2,57.89
4920,2,1,0,0,0,0,0,0,0,0,0,0,0,41.7,62.89,61.86,0,0,0,0,1,46.83
6785,2,1,0,1,0,0,0,0,1,0,0,0,0,58.89,73.52,77.37,0.67,0,0.89,0,1,50.34
1861,2,1,0,1,0,0,0,0,1,1,1,1,1,61.68,77.13,77.23,0.67,0,0.89,0,2,60.91
4087,2,0,0,0,0,0,0,0,1,0,0,0,0,63.16,64.25,72.41,0.67,0,0.67,0,1,58.6
2795,2,1,0,1,0,0,0,0,1,0,0,0,1,61.73,69.61,73.92,1,1,1,1,2,62.39
2498,2,0,0,0,0,0,0,0,0,0,0,0,0,39.58,57.34,55.37,0.33,0,0.67,0,1,39.4
3015,2,1,1,0,0,0,0,0,0,0,0,0,0,46.55,57.19,62.15,0.33,0,0.22,0,1,39.97
5066,2,0,0,0,0,0,1,0,0,0,0,0,0,28.93,34.67,35.81,0.33,0,0.78,0,1,48.35
6095,2,0,0,1,0,0,0,1,1,1,1,1,1,48.09,65.3,68.11,1,1,1,1,2,58.79
1245,2,0,0,1,0,1,0,1,1,1,0,0,0,34.79,51.64,56.88,0.33,0,0.44,0,1,50.59
6776,2,0,0,1,0,0,0,0,1,1,0,0,0,62.12,73.06,80.27,0.67,0,0.56,0,NA,62.28
2853,2,1,0,0,0,0,0,0,1,0,0,0,0,64.12,78.73,84.9,0.67,0,0.78,0,1,59.58
4790,2,1,0,0,0,0,0,0,1,1,1,1,1,46.94,61.63,64.35,1,1,1,1,1,56.92
5572,2,0,0,1,0,1,0,0,1,1,1,1,1,53.9,70.33,74.92,1,1,1,1,2,59.5
2272,2,1,0,1,0,1,0,0,0,0,1,0,0,52.76,70.11,66.05,0.5,0,0.25,0,2,54.31
1754,2,1,0,1,0,0,0,0,0,0,0,0,0,61.08,71.14,74.53,0.33,0,0.11,0,1,57.2
3070,2,0,1,1,1,1,1,1,1,0,1,1,1,45.04,61.18,61.44,1,1,0.62,0,2,38.79
3131,2,1,0,1,0,0,0,1,1,0,0,0,1,60.02,74.76,82.72,1,1,0.78,0,1,58.82
6074,2,0,0,1,0,1,0,0,1,0,0,1,1,61.11,71.44,77.7,1,1,1,1,1,56.67
2261,2,0,0,0,0,1,0,0,1,1,1,1,1,69.38,82.52,83.98,1,1,0.43,0,1,NA
1183,2,1,0,1,1,0,1,1,1,0,0,1,1,37.06,51.52,51.06,1,1,1,1,2,47.92
3237,2,1,0,0,0,0,0,0,0,0,0,0,0,63.09,71.06,73.37,0.33,0,0.44,0,1,58.06
5680,2,1,1,1,1,1,0,1,1,1,0,1,1,53.58,66.6,69.78,1,1,1,1,2,55.04
5718,2,0,0,1,0,1,0,0,1,0,1,0,0,58.82,65.56,75.52,1,1,1,1,2,58.09
3092,2,1,0,0,0,0,0,1,1,0,1,0,1,54.76,67.58,68.81,0.67,0,0.78,0,1,58.39
5560,2,0,0,0,0,0,0,0,0,0,0,0,0,41.23,51.14,53.44,0.33,0,0.78,0,1,44.54
1549,2,0,0,1,0,0,1,0,1,0,1,1,1,58.28,72.85,75.28,1,1,1,1,1,64.23
2672,2,1,0,0,0,0,0,0,0,0,0,0,0,45,64.18,64.75,1,1,0.33,0,1,47.7
3970,2,1,0,1,0,0,0,0,0,0,0,0,0,48.02,54.3,54.45,0,0,0,0,1,47.28
2797,2,1,0,1,0,1,1,1,1,1,1,1,1,71.14,78.64,85.22,1,1,0.67,0,2,69.47
1498,2,0,1,1,0,1,1,1,1,1,1,1,1,50.08,61.97,61.43,1,1,0.78,0,2,42.48
3306,2,0,0,1,1,1,1,0,0,0,0,0,0,50.22,65.65,62.03,0.33,0,0.11,0,3,60.92
6352,2,1,0,1,0,0,0,1,0,0,0,0,0,52.14,65.82,68.88,0.33,0,0.78,0,2,53.65
3033,2,1,0,1,1,1,1,0,1,1,1,1,1,49.11,55.05,62.22,1,1,0.78,0,2,50.3
5829,2,0,0,0,0,1,0,0,0,0,1,0,0,62.46,81.39,94.37,0.67,0,0.22,0,1,53.91
4481,2,1,1,0,1,1,1,0,1,1,1,1,1,58.91,71.12,83.05,1,1,1,1,NA,60.86
5813,2,0,0,0,0,0,0,0,0,0,0,0,0,61.95,75.95,80.74,1,1,1,1,1,61.21
2935,2,0,0,1,0,0,0,0,1,0,1,0,1,63.28,74.99,78.7,1,1,0.89,0,1,58.81
1017,2,0,0,1,1,1,1,1,1,1,1,1,1,71.57,91.12,89.64,1,1,1,1,3,65.5
3781,2,0,0,1,1,1,0,0,0,1,1,1,1,51.56,62.61,66.58,0.33,0,0.78,0,2,49.37
4535,2,1,0,0,0,0,0,0,1,0,0,0,0,56.99,71.7,70.46,0.33,0,0.11,0,2,54.71
2436,2,1,0,0,1,0,0,0,0,0,0,0,0,43.76,58.78,60.59,0.33,0,0.56,0,2,36.76
6571,2,0,0,0,0,1,0,0,1,1,1,1,1,37.05,42.02,47.22,1,1,0.67,0,1,37.76
4357,2,0,0,1,1,1,1,0,0,1,1,0,0,62.27,75.37,65.78,1,1,0.71,0,2,60.39
1799,2,1,0,1,0,0,0,0,0,0,0,0,0,53.11,67.32,58.72,0.33,0,0.11,0,1,49.19
5468,2,1,0,1,0,0,1,0,1,0,0,1,1,58.83,68.64,72.94,1,1,1,1,1,58.19
6600,2,1,0,0,0,0,1,0,0,0,0,0,0,42.24,54.11,56.26,0,0,0,0,1,40.79
6343,2,1,0,0,0,0,0,0,1,0,1,1,1,51.28,67.54,69.06,0.67,0,0.67,0,1,51.64
3541,2,1,0,0,0,0,0,0,0,0,0,0,0,45.18,56.85,56.91,1,1,0.71,0,1,43
4648,2,0,0,1,1,1,1,1,1,1,1,0,1,56.41,76.21,71.56,1,1,1,1,2,60.96
3956,2,1,0,0,0,0,0,0,1,0,0,0,0,41.99,65.65,66.2,1,1,0.86,0,2,53.87
4216,2,1,0,1,0,0,1,0,0,0,0,1,0,40.47,48.47,45.26,0,0,0,0,2,40.27
5765,2,0,0,0,0,0,0,0,0,0,0,0,0,66.68,75.99,77.81,1,1,0.86,0,1,64.18
2746,2,1,0,0,0,0,0,0,1,0,0,0,0,46.87,47.8,43.66,0.5,0,0.25,0,NA,37.87
1690,2,0,0,0,0,0,0,0,1,1,1,0,0,58.08,63.16,63.18,0.33,0,0.44,0,1,47.41
2599,2,1,0,1,0,0,0,0,1,1,1,1,1,58.34,78.63,75.07,1,1,1,1,2,72.69
3493,2,0,0,1,0,0,1,1,1,0,1,1,1,54.25,75.73,77.97,1,1,0.89,0,2,48.37
2098,2,1,0,0,1,1,1,1,0,0,0,0,0,34.86,83.51,77.72,0.67,0,0.56,0,1,38.89
3911,2,1,0,1,0,0,0,0,0,0,0,0,0,52.53,55.98,44.14,0.67,0,0.56,0,1,55.27
2111,2,1,0,1,0,0,0,0,1,0,0,0,0,40.74,51.02,48.76,1,1,0.57,0,2,43.47
5775,2,0,0,0,0,1,1,1,1,1,1,1,1,54.15,59.71,63.07,0.33,0,0.11,0,1,58.36
4121,2,0,0,1,0,0,0,0,0,0,0,0,0,33.3,35.07,31.09,0,0,0.75,0,2,38.4
4008,2,1,0,0,0,1,0,0,0,1,1,0,0,39.57,46.71,43.04,1,1,1,1,1,44.22
3973,2,1,0,1,1,1,1,1,1,0,0,0,1,61.6,68.82,68.08,0.67,0,0.44,0,1,59.44
6348,2,1,0,0,0,0,0,0,0,1,0,1,0,63.62,75.95,79.17,0.67,0,0.44,0,1,57.72
3377,2,1,0,0,1,1,1,1,1,1,1,0,1,60.75,71.56,70.32,1,1,0.89,0,2,68.51
3755,2,1,0,0,0,0,0,0,0,0,0,0,0,52.37,67.1,74.7,0.67,0,0.67,0,1,53.65
6872,2,0,0,1,1,1,1,1,0,0,0,0,0,67.85,86.45,93.64,1,1,1,1,3,74.18
1040,2,0,0,0,0,1,0,1,1,1,1,1,1,42.68,52.75,59.88,1,1,0.88,0,3,60.8
3026,2,1,0,1,0,1,0,1,1,1,1,1,1,60.25,81.15,81.92,0.67,0,0.89,0,2,64.59
3569,2,1,0,1,0,1,0,0,0,0,1,1,0,58.82,73.14,73.37,0.67,0,0.44,0,1,44.57
1665,2,1,0,0,0,0,0,0,1,0,1,1,0,51.09,74.69,73.7,0.67,0,0.44,0,1,55.77
1668,2,0,0,1,1,1,0,0,1,0,1,0,0,65.87,81.2,83.75,0.33,0,0.56,0,2,70.01
6894,2,1,0,1,1,1,0,1,0,1,1,1,1,62.21,74.96,77.39,0.67,0,0.56,0,1,51.88
5704,2,1,0,0,0,1,1,0,1,0,1,0,0,54.27,73.01,74.3,0.67,0,0.56,0,1,46.29
1439,2,1,0,1,1,1,1,1,1,1,1,1,1,61.69,73.14,73.79,1,1,0.89,0,2,59.39
4819,2,0,0,0,1,1,0,0,0,0,1,0,0,62.25,74.84,80.86,0.67,0,0.89,0,3,68.38
4218,2,1,0,0,0,0,0,1,1,1,0,0,0,62.78,87.84,81.09,1,1,0.56,0,1,56.5
2437,2,1,0,1,1,0,1,1,1,1,1,1,1,64,77.63,79.4,0.67,0,0.89,0,3,63.01
1402,2,1,0,0,0,1,0,0,1,1,1,1,1,57.15,72.57,69.93,1,1,0.78,0,1,57.2
2623,2,1,0,1,0,1,0,1,1,1,0,1,1,42.57,59.72,63.03,0.5,0,0.88,0,2,50.07
4247,2,1,0,1,1,1,1,1,1,1,1,0,1,55.02,68.3,72.9,0.67,0,0.89,0,2,62.14
3889,2,1,0,1,0,1,0,0,1,1,1,0,1,58.71,71.73,77.24,0.67,0,0.78,0,2,54.87
5701,2,1,0,1,0,0,0,0,0,1,1,1,1,58.59,75.28,80.5,0.67,0,0.67,0,2,47.15
5958,2,1,0,1,0,0,0,1,1,1,1,1,0,49.5,70.12,71.3,1,1,0.89,0,2,49.2
3065,2,0,0,0,0,0,1,1,1,1,1,1,1,54.34,52.71,55.69,1,1,1,1,3,60.44
2427,2,1,1,1,1,0,1,0,1,0,1,0,0,41.12,56.1,52.24,0.33,0,0.67,0,2,29.12
3241,2,1,0,0,0,1,1,0,0,1,0,1,0,44.07,53.14,50.18,0.67,0,0.88,0,3,39.91
2058,2,0,0,1,1,1,1,1,1,1,1,1,1,58.35,73.86,71.41,0,0,0.75,0,2,40.65
3238,2,1,0,1,1,1,0,1,1,0,1,0,0,51.41,61.07,66.07,1,1,0.89,0,2,50.55
1579,2,1,0,1,1,0,0,1,0,0,0,0,0,43.13,60.58,70.16,0.33,0,0.56,0,2,35.18
5703,2,1,0,0,0,0,0,0,1,1,1,1,1,48.65,65.04,65.75,0,0,0.56,0,1,43.63
2765,2,1,0,1,0,1,0,1,1,1,1,1,1,45.19,55.25,57.34,0.67,0,0.56,0,3,44.28
3943,2,0,1,1,1,1,1,1,1,0,0,0,0,41.28,56.36,56.81,0.33,0,0.56,0,3,40.11
3620,2,1,1,1,1,1,1,1,1,1,1,0,1,44.38,67.45,68.67,1,1,0.78,0,2,48.81
5757,2,1,0,0,0,1,0,0,0,0,0,0,0,51.45,51.26,61.17,0.33,0,0.33,0,1,47.89
3953,2,0,0,1,1,0,0,1,1,1,1,1,1,56.19,65.67,65.13,1,1,1,1,2,56.54
5737,2,1,0,0,1,1,1,1,0,0,1,1,1,53.47,66.08,66.27,1,1,1,1,2,43.2
6874,2,0,1,1,1,1,1,1,1,0,1,0,1,49.51,65.1,64.11,1,1,0.89,0,3,54.04
4374,2,1,1,1,1,1,1,1,1,1,1,1,1,51.3,70.7,77.42,1,1,1,1,2,49.8
5846,2,0,0,1,0,0,1,1,0,1,1,1,1,43.07,64.1,68.47,1,1,0.78,0,3,58.73
5169,2,1,0,0,0,0,0,0,1,0,1,0,0,53.69,61.95,68.6,0.67,0,0.89,0,2,53.95
4574,2,1,0,1,0,0,0,0,1,1,1,0,0,43.35,66.18,73.49,1,1,0.78,0,2,48.59
6805,2,1,1,1,0,0,1,1,1,0,1,1,1,35.19,48.06,44.67,0.67,0,0.67,0,NA,33.35
2970,2,0,1,1,1,1,1,1,1,1,0,1,1,42.76,55.89,62.32,0.5,0,0.88,0,3,39.3
3475,2,0,1,1,1,1,0,1,1,1,1,1,1,49.9,60.56,62.74,1,1,0.67,0,2,53.79
2303,2,0,1,1,1,1,1,1,1,0,1,0,1,56.04,79.55,80.51,0.67,0,0.89,0,1,58.65
4408,2,1,1,1,1,1,1,1,1,1,1,1,1,59.36,76.49,84.31,1,1,0.44,0,3,61.21
4325,2,1,1,1,0,1,1,1,1,1,1,1,1,41.46,51.57,50.44,0.33,0,0.44,0,3,43.48
5736,2,1,1,1,0,1,1,0,1,1,0,1,1,53.5,56.62,66.21,0.67,0,0.67,0,3,44
2062,2,0,1,1,1,1,1,1,1,1,1,1,1,40.39,64.62,78.45,1,1,0.89,0,3,49.14
2718,2,1,1,1,0,0,0,1,0,0,1,0,0,46.26,52.56,45.98,0.67,0,0.56,0,NA,41.47
3667,2,0,1,1,1,1,1,0,1,1,1,1,1,53.74,61.02,69.69,1,1,1,1,2,47.83
5781,2,1,1,1,0,0,0,0,1,0,1,1,1,52.82,60.1,56.83,1,1,0.86,0,3,54.65
5699,2,0,1,1,1,1,1,1,1,1,1,1,1,62.71,81.53,84.24,0.33,0,0.78,0,2,61.78
5409,2,1,1,1,1,1,1,1,1,1,1,1,1,51.86,76.44,91.8,1,1,0.56,0,3,52.68
6683,2,1,1,1,0,0,0,0,1,0,0,0,0,48.56,71.62,75.61,1,1,1,1,1,48.72
4558,2,1,1,0,0,0,0,0,0,0,0,0,0,36.61,39.28,48.89,0.67,0,0.89,0,1,39.63
2164,2,1,1,0,0,1,0,1,1,1,1,1,0,45.55,46.58,44.18,0.33,0,0.56,0,2,43.13
3775,2,0,1,0,0,0,0,0,1,1,1,1,1,34.01,49.32,46.81,1,1,1,1,1,33.1
1788,2,1,1,1,0,1,0,0,1,1,1,0,0,42.18,49.85,44.43,1,1,1,1,1,36.17
1447,2,0,1,0,0,0,0,0,0,0,0,0,0,35.87,38.59,32.18,0,0,0.67,0,2,41.94
1937,2,1,1,0,0,0,0,0,0,0,1,0,0,43.01,55.97,64.62,0.67,0,0.44,0,1,45.31
5337,2,0,1,1,0,0,0,0,1,1,1,0,0,60.92,75.98,83.76,0.67,0,0.78,0,3,60.37
3233,2,0,1,0,1,0,1,0,1,1,1,1,1,38.9,52.52,51.04,0.67,0,0.62,0,2,32.59
4211,2,0,0,1,1,1,0,1,0,0,0,0,0,63.36,82.11,92.09,0.67,0,0.78,0,3,72.8
1493,2,0,0,1,0,1,0,1,0,1,1,1,0,57.89,79.25,90.15,0.67,0,0.78,0,1,56.72
6232,2,0,0,1,0,1,0,0,1,0,0,1,0,62.59,78.72,92.08,1,1,0.71,0,1,60.65
5241,2,1,0,0,0,1,0,0,1,1,1,1,1,65.12,81.42,79.09,1,1,1,1,1,57.03
4449,2,1,0,0,0,0,0,0,0,0,0,0,0,59.41,72.82,76.17,0.67,0,0.78,0,1,49.22
3149,2,1,0,1,0,0,0,0,1,0,1,0,0,57.8,74.12,77.58,1,1,1,1,2,50.47
4390,2,1,0,0,1,1,0,1,0,0,0,0,0,54.17,73.02,76.45,1,1,1,1,2,59.12
2524,2,1,1,1,0,1,1,0,0,0,0,0,0,44.63,66.92,69.64,0.67,0,0.33,0,2,41.61
3251,2,1,0,0,1,0,1,1,0,0,0,0,0,51.47,75.89,85.38,1,1,1,1,3,62.25
5064,2,0,0,1,1,1,1,0,1,1,1,0,0,37.71,73.96,81.6,1,1,1,1,NA,68.21
4676,2,1,0,1,1,1,1,0,1,0,1,1,1,40.88,62.42,65.26,1,1,1,1,1,36.18
4926,2,1,0,1,1,1,1,0,1,1,1,1,1,55.17,66.85,81.86,1,1,1,1,1,60.14
4373,2,1,0,1,1,0,1,0,0,0,1,1,0,52.23,74.05,68.53,0.33,0,0.78,0,2,49.88
1495,2,0,0,1,1,1,1,1,1,0,1,1,0,59.97,76.23,75.71,1,1,1,1,3,53.53
3819,2,0,0,1,0,0,0,0,1,0,0,9999,0,70.05,78.52,78.77,0.67,0,0.89,0,NA,NA
1435,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,68.47,9999,9999,1,1,1,1,NA,NA
1194,2,1,0,1,0,0,1,0,1,1,1,0,0,57.04,67.42,9999,1,1,1,1,NA,NA
5682,2,1,0,0,0,0,0,0,1,1,1,1,1,60.13,9999,84.56,1,1,0.56,0,NA,NA
6485,2,0,0,1,0,0,0,1,1,0,0,0,0,60.66,72.15,9999,0,0,0,0,NA,NA
4938,2,0,0,1,1,1,0,1,1,0,0,9999,0,71.66,86.79,9999,0,0,0,0,NA,NA
2204,2,1,0,1,1,1,1,1,1,1,1,1,0,58.98,65.77,9999,1,1,1,1,NA,NA
6715,2,1,1,0,0,0,1,0,1,0,0,0,0,57.98,68.85,78.24,9999,9999,0.83,0,NA,NA
1442,2,1,9999,0,0,0,0,0,9999,9999,9999,9999,9999,47.5,9999,9999,9999,9999,9999,9999,NA,NA
6821,2,0,0,1,1,1,0,1,0,0,0,0,0,47.49,56.32,9999,0.67,0,0.44,0,NA,NA
1915,2,1,1,1,1,1,0,0,9999,9999,9999,9999,9999,55.65,9999,84.05,0.67,0,0.89,0,NA,NA
6611,2,1,0,1,0,1,0,0,1,0,0,0,0,50.04,9999,66.01,0.33,0,0.56,0,NA,NA
1840,2,0,0,1,0,1,0,0,0,1,0,0,0,43.43,52,9999,1,1,1,1,NA,NA
6115,2,1,1,1,1,1,0,1,9999,9999,9999,9999,9999,40.12,9999,9999,9999,9999,9999,9999,NA,NA
5593,2,1,0,1,1,1,1,1,1,1,1,0,1,39.13,9999,48.5,9999,9999,0.17,0,NA,NA
3803,2,1,0,0,9999,1,0,0,0,0,0,0,0,55.69,9999,64.75,0.33,0,0.22,0,NA,NA
4607,2,0,0,1,1,1,0,1,0,0,0,0,0,43.58,9999,51.8,0.33,0,0.75,0,NA,NA
4618,2,0,0,1,0,1,1,1,1,1,1,1,1,49.28,31.45,9999,1,1,1,1,NA,NA
3299,2,1,0,1,0,0,0,1,1,1,1,1,1,51.41,9999,9999,0,0,0.62,0,NA,NA
5374,2,1,1,1,0,0,0,0,9999,9999,9999,9999,9999,44.11,9999,9999,9999,9999,9999,9999,NA,NA
3746,2,0,0,1,0,0,1,0,0,9999,1,0,1,48.8,9999,9999,9999,9999,9999,9999,NA,NA
5353,2,0,0,1,0,1,9999,0,1,0,0,0,0,51.78,62.25,9999,9999,9999,9999,9999,NA,NA
4533,2,0,1,1,0,0,0,0,1,1,1,1,1,47.81,43.23,9999,1,1,1,1,NA,NA
6901,2,1,1,1,0,1,0,0,1,0,1,0,0,47.33,54.61,9999,9999,9999,9999,9999,NA,NA
3616,2,0,0,0,0,1,0,1,9999,9999,9999,9999,9999,40.39,9999,9999,9999,9999,9999,9999,NA,NA
3094,2,0,0,1,1,1,1,1,0,0,0,0,0,42.58,46.75,9999,9999,9999,9999,9999,NA,NA
4582,2,0,9999,1,1,1,1,1,9999,9999,9999,9999,9999,48.03,9999,9999,1,1,1,1,NA,NA
6062,2,0,1,1,0,1,1,1,9999,9999,9999,9999,9999,42.98,9999,9999,9999,9999,9999,9999,NA,NA
1976,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,48.33,46.61,9999,1,1,1,1,NA,NA
4092,2,1,0,1,1,0,0,1,9999,9999,9999,9999,9999,42.11,9999,9999,9999,9999,9999,9999,NA,NA
2319,2,0,0,0,1,1,1,1,9999,9999,9999,9999,9999,36.17,9999,9999,1,1,1,1,NA,NA
1721,2,0,0,1,1,9999,0,0,0,0,9999,0,0,48.05,9999,9999,0,0,0,0,NA,NA
3996,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,44.19,9999,9999,0,0,0,0,NA,NA
4754,2,1,0,0,0,1,1,0,9999,9999,9999,9999,9999,31.14,9999,9999,9999,9999,9999,9999,NA,NA
3585,2,0,0,0,1,1,1,0,0,9999,1,0,0,38.34,36.46,9999,9999,9999,9999,9999,NA,NA
2784,2,0,9999,1,1,1,0,1,9999,9999,9999,9999,9999,36.78,9999,9999,9999,9999,9999,9999,NA,NA
4039,2,0,0,0,1,0,0,1,9999,9999,9999,9999,9999,31.52,9999,9999,1,1,1,1,NA,NA
5373,2,1,0,1,1,1,1,1,1,1,1,1,1,67.35,78.21,9999,0.67,0,0.56,0,NA,NA
2418,2,0,9999,0,0,1,0,0,0,0,0,0,0,43.59,9999,27.01,0,0,0.75,0,NA,NA
5318,2,1,0,0,1,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,NA,NA
2212,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,40.21,9999,9999,9999,9999,9999,9999,NA,NA
1324,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,42.71,9999,9999,9999,9999,9999,9999,NA,NA
1681,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,33.85,35.97,9999,9999,9999,9999,9999,NA,NA
4916,2,1,0,1,0,0,1,1,0,1,1,1,1,49.85,9999,9999,9999,9999,9999,9999,NA,NA
1382,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,35.06,48.05,9999,9999,9999,9999,9999,NA,NA
1497,2,0,0,1,0,0,1,0,9999,9999,9999,9999,9999,49.09,9999,9999,9999,9999,9999,9999,NA,NA
1577,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,37.6,9999,9999,9999,9999,9999,9999,NA,NA
1656,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,46.66,9999,9999,1,1,1,1,NA,NA
1791,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,42.43,9999,9999,9999,9999,9999,9999,NA,NA
5650,2,1,1,1,0,0,0,1,0,0,1,0,0,46.79,59.77,9999,1,1,1,1,NA,NA
2407,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,57.68,9999,9999,9999,9999,9999,9999,NA,NA
4924,2,0,0,1,1,1,1,0,9999,9999,9999,9999,9999,57.58,71.65,9999,1,1,1,1,NA,NA
2109,2,0,1,0,0,0,0,0,0,1,0,0,0,42.12,46.01,9999,9999,9999,9999,9999,NA,NA
2396,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,44.21,9999,9999,9999,9999,9999,9999,NA,NA
1301,2,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,46.59,9999,9999,9999,9999,9999,9999,NA,NA
1774,2,0,0,0,0,0,0,0,0,0,0,0,0,34.74,35.72,9999,9999,9999,9999,9999,NA,NA
3830,2,0,1,0,0,0,1,1,1,1,1,1,1,36.86,57.5,9999,1,1,1,1,NA,NA
6426,2,0,1,0,0,0,1,1,9999,9999,9999,9999,9999,34.65,9999,9999,9999,9999,9999,9999,NA,NA
5401,2,1,0,0,0,0,1,0,9999,9999,9999,9999,9999,57.84,9999,9999,9999,9999,9999,9999,NA,NA
6085,2,0,1,0,1,1,1,1,1,1,1,1,1,41.62,46.97,9999,1,1,1,1,NA,NA
4309,2,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,36.27,9999,9999,9999,9999,9999,9999,NA,NA
2561,2,1,1,0,1,1,1,1,1,1,1,1,1,32.04,9999,51.34,1,1,0.33,0,NA,NA
1259,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,34.72,9999,9999,9999,9999,9999,9999,NA,NA
5023,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,41.88,9999,9999,9999,9999,9999,9999,NA,NA
6809,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,42.35,9999,9999,9999,9999,9999,9999,NA,NA
3782,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,41.94,9999,9999,9999,9999,9999,9999,NA,NA
3046,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,33.67,9999,9999,9999,9999,9999,9999,NA,NA
1521,2,0,1,1,1,1,1,1,1,1,1,1,1,41.28,43.78,9999,9999,9999,9999,9999,NA,NA
3345,2,0,0,1,0,1,1,1,1,1,1,1,1,38.45,37.49,9999,9999,9999,9999,9999,NA,NA
4501,2,1,1,0,1,1,1,0,9999,9999,9999,9999,9999,39.9,9999,80.4,0.33,0,0.22,0,NA,NA
1908,2,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,43.38,9999,9999,9999,9999,9999,9999,NA,NA
1024,2,0,0,1,0,0,1,1,1,1,1,0,1,39.06,9999,9999,9999,9999,9999,9999,NA,NA
2651,2,1,0,1,1,1,0,0,9999,9999,9999,9999,9999,37.75,49.83,9999,1,1,1,1,NA,NA
5819,2,0,0,1,1,0,1,1,0,0,1,0,1,40.29,48.71,9999,1,1,1,1,NA,NA
6402,2,0,9999,1,1,1,1,1,9999,9999,9999,9999,9999,48.49,9999,9999,1,1,1,1,NA,NA
1300,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,34.16,9999,9999,1,1,1,1,NA,NA
3409,2,0,0,1,1,1,0,0,9999,9999,9999,9999,9999,41.37,9999,9999,1,1,1,1,NA,NA
5201,2,0,1,0,0,0,1,1,9999,9999,9999,9999,9999,46.34,9999,9999,9999,9999,9999,9999,NA,NA
4626,2,0,1,1,1,1,0,1,1,1,1,1,1,54.19,9999,9999,9999,9999,9999,9999,NA,NA
5326,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,47.01,9999,9999,9999,9999,9999,9999,NA,NA
5866,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,NA,NA
5941,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,46.61,9999,9999,9999,9999,9999,9999,NA,NA
2941,2,0,1,1,0,0,0,0,9999,9999,9999,9999,9999,37.54,9999,9999,1,1,1,1,NA,NA
3043,2,1,9999,1,1,1,1,0,9999,9999,9999,9999,9999,36.72,9999,9999,9999,9999,9999,9999,NA,NA
5961,2,0,0,0,9999,0,1,0,9999,9999,9999,9999,9999,40.86,9999,9999,9999,9999,9999,9999,NA,NA
3134,2,0,1,0,0,0,0,0,0,0,1,0,0,35.29,59.73,9999,1,1,1,1,NA,NA
6731,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,38.41,52.36,9999,9999,9999,9999,9999,NA,NA
5645,2,0,1,0,0,1,0,1,0,0,0,0,0,35.87,9999,9999,0,0,0.75,0,NA,NA
3823,2,0,1,1,0,0,0,1,0,1,0,0,1,47.51,63.95,9999,9999,9999,9999,9999,NA,NA
5789,2,0,0,1,1,1,1,1,0,0,0,0,0,47.89,58.92,9999,9999,9999,9999,9999,NA,NA
5865,2,1,9999,1,0,1,0,0,9999,9999,9999,9999,9999,34.91,9999,9999,9999,9999,9999,9999,NA,NA
6316,2,1,1,1,0,1,0,1,9999,9999,9999,9999,9999,53.79,9999,9999,9999,9999,9999,9999,NA,NA
6140,2,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,30.2,9999,9999,9999,9999,9999,9999,NA,NA
4289,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,47.66,9999,9999,9999,9999,9999,9999,NA,NA
2420,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,39.02,9999,9999,9999,9999,9999,9999,NA,NA
5179,2,1,1,0,1,0,0,1,0,0,0,0,1,41,60.76,9999,1,1,1,1,NA,NA
6606,2,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,42.45,9999,9999,0,0,0,0,NA,NA
1199,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,31.07,9999,9999,0,0,0,0,NA,NA
